id_estacion,direccion,cod_postal,latitud,longitud,rotulo,horario,municipio
10765,"AVENIDA 1º DE MAYO, S/N",02001,"38,985667","-1,868500",CARREFOUR,L-S: 08:00-22:00; D: 09:00-21:00,Albacete
12054,"CALLE PRINCIPE DE ASTURIAS (POLÍGONO DE ROMICA), 5",02001,"39,054694","-1,832000",BP ROMICA,L-D: 06:00-22:00,Albacete
13933,"CALLE FEDERICO GARCIA LORCA, 1",02001,"39,000861","-1,849833",PLENOIL,L-D: 24H,Albacete
4369,"AVENIDA MENÉNDEZ PIDAL, 58",02005,"39,003333","-1,864917",TAMOS,L-D: 24H,Albacete
5195,"CL PASEO DE LA CUBA, 15",02005,"38,999722","-1,854556",REPSOL,L-D: 06:00-22:00,Albacete
14123,"PASEO CUBA (LA), 36",02005,"39,005083","-1,859917",CEPSA,L-D: 06:00-22:00,Albacete
15000,"AVENIDA ESCRITOR RODRIGO RUBIO, 3",02005,"39,006889","-1,885361",A&A,L-S: 09:00-21:30,Albacete
16011,"CALLE CONSTANTINO ROMERO, S/N",02005,"39,005528","-1,884444",PLENOIL,L-D: 24H,Albacete
5313,"CALLE HERMANOS FALCÓ, 2",02002,"38,989250","-1,849028",CEPSA,L-D: 06:30-22:30,Albacete
4415,"AVDA. DE LOS TOREROS, S/N",02006,"38,998222","-1,869889",INPEALSA,L-D: 07:00-23:00,Albacete
4416,"AVDA. DE ESPAÑA (PRÓX. A C/ SAN JUAN), S/N",02006,"38,982167","-1,853306",INPEALSA,L-D: 07:00-23:00,Albacete
4428,"CALLE ALCALDE CONANGLA (C.C. EROSKI), S/N",02006,"38,988972","-1,847361",FAMILY ENERGY,L-S: 07:00-23:00; D: 08:00-23:00,Albacete
5116,"CR N-322, 337,8",02006,"38,925833","-2,031861",REPSOL,L-S: 06:30-21:30,Albacete
5191,"PG CAMPOLLANO-P. 2-CT, S.N.",02006,"39,012583","-1,874972",REPSOL,L-V: 06:00-22:00; S: 07:30-15:30; D: 09:00-15:00,Albacete
5208,"CR N-301, 244",02006,"39,027778","-1,892972",REPSOL,L-D: 24H,Albacete
5222,"CALLE CTRA. DE JAEN, 79",02006,"38,988111","-1,883694",REPSOL,L-D: 06:00-22:00,Albacete
5245,CARRETERA JAEN KM. 2,02006,"38,994667","-1,871722",REPSOL,L-D: 24H,Albacete
5289,CARRETERA N-322 KM. 359,02006,"39,033139","-1,845083",REPSOL,L-V: 07:00-21:00; S-D: 09:00-14:00,Albacete
5318,"AVENIDA 1º DE MAYO, S/N",02006,"38,985194","-1,866806",PETROCAMP,L-D: 07:00-23:00,Albacete
14377,CARRETERA NACIONAL 322 PTO KM 347 KM. 347,02006,"38,965639","-1,935500",P347,L-S: 07:00-22:00,Albacete
4413,"POLIGONO CAMPOLLANO AVENIDA -0-, 69",02007,"39,021972","-1,879639",ABOIL,L-V: 07:00-21:00; S-D: 09:00-14:00,Albacete
4417,"POLIGONO CAMPOLLANO AVENIDA 1, 0",02007,"39,016389","-1,893944",INPEALSA,L-V: 06:00-22:00; S: 06:00-14:00,Albacete
4790,"CARRETERA C-M 332 KM. 2,6",02007,"38,998111","-1,831611","INLOCOR S.L. ""CEPSA""",L-D: 06:00-23:30,Albacete
5129,CARRETERA NACIONAL 301 KM. 256,02099,"38,929389","-1,831639",INPEALSA,L-D: 24H,Albacete
5173,"AUTOVIA A-30 KM. 239,4",02080,"39,059806","-1,933250",CEPSA,L-D: 07:00-23:00,Albacete
5174,"AUTOVIA A-30 KM. 239,4",02080,"39,060528","-1,933056",CEPSA,L-D: 24H,Albacete
5272,"AVENIDA PRINCIPE, 2",02328,"38,900944","-1,994028",REPSOL,L-D: 08:00-16:00,Albacete
9546,"MADRID-CARTAGENA km 248,5",02007,"38,971722","-1,845278","REPSOL. LOS ANGELES DE LA MANCHA, S.L.",L-D: 06:00-22:00,Albacete
9601,"SECTOR PARCELA T-3 LOCAL52, 14",02007,"39,009639","-1,878111",ALCAMPO,L-S: 06:00-23:00; D: 08:00-23:00,Albacete
10129,"POLIGONO CAMPOLLANO C/.F, 13",02007,"39,012472","-1,889417",AVANZA OIL,L-D: 24H,Albacete
11048,CARRETERA N-322 KM. 349,02004,"38,970167","-1,919778",CEPSA,L-D: 24H,Albacete
11087,AUTOVIA A-31 KM. 69,02007,"39,031528","-1,891361",REPSOL,L-D: 06:00-22:00,Albacete
11297,"MADRID-CARTAGENA km 248,5",02007,"38,971778","-1,845306",REPSOL Nº ESTACIÓN 97179,L-V: 06:00-22:00,Albacete
12763,"AVENIDA 3ª ESQUINA C/ F Nº3, 3",02007,"39,009417","-1,885694",FAST & GAS,L-D: 24H,Albacete
12801,"POLIGONO AVDA. 3ª, ESQUINA C/AUTOVIA, 69",02007,"39,018000","-1,874333",ENERCOM CARBURANTES,L-D: 24H,Albacete
13369,"AVENIDA PRIMERA, S/N",02007,"39,022139","-1,882056",GMOIL,L-D: 24H,Albacete
13620,"POLIGONO CAMPOLLANO, 55",02007,"39,015444","-1,871361",CEPSA,L-V: 05:30-23:00; S: 06:30-22:30; D: 07:30-21:00,Albacete
13930,"AVENIDA POLIGONO CAMPOLLANO AVENIDA 0, 67",02007,"39,021583","-1,886556",VALERO 24H,L-D: 24H,Albacete
14287,"POLIGONO Nº 71, PARCELA 678, PARAJE HONDO DE LA MORENA S/N, S/N",02080,"38,969361","-1,823639",CEPSA,L-D: 06:30-22:30,Albacete
14465,"CARRETERA DE LAS PEÑAS KM 0+238 KM. 0,238",02080,"38,970778","-1,873194",AREA LOS LLANOS,L-D: 07:00-22:00,Albacete
14612,"CALLE C/ AUTOVIA C/V AVD. SEXTA, S/N",02007,"39,029583","-1,888083",NATURGY ES  GNV ALBACETE,L-D: 24H,Albacete
15547,"CALLE AUTOVIA, SN",02007,"39,029167","-1,888333",LA GAVIOTA GASOLINERA 24 HORA,L-D: 24H,Albacete
